17劇本標準答案,,,,,,,,,
來源,依據使用者提供之規則與《專題標準答案.txt》整理,,,,,,,,
劇本編號,劇本名稱,情境類型,是否應介入,介入類型,判斷依據,抽取資訊,建議系統行為,建議回應,對應關鍵特徵
劇本一,時間解析與需求啟動,發起階段,否,隱性介入,已出現時間資訊、正在確認共同可行時段、尚未規劃地點與行程,時間：週六、13:00–16:00；限制：不要太晚結束,抽取時間、建立初步時間框架、持續觀察,,時間、可行時段、尚未決定地點
劇本二,活動意圖辨識,發起階段,否,隱性介入,出現出遊意圖、地點初步聚焦、尚未討論具體時間與安排,時間：這週末；地點：淡水,辨識出遊意圖、記錄地點、持續蒐集條件,,出去走走、去哪裡、淡水
劇本三,條件收斂,條件收斂階段,否,隱性介入,已出現時間、地點、人數、限制條件；資訊逐步完整,時間：這週六；地點：淡水；人數：四個人；限制：不要太遠,整合條件、建立需求模型、準備進入規劃階段,,時間+地點+人數、條件完整、整理一下
劇本四,自動行程生成,方案產生階段,是,顯性介入,條件大致完整、開始討論順序、具備生成初步行程條件,地點：淡水,生成初步行程、整合景點與餐廳、提供建議順序,我幫你們整理目前條件，先排一個淡水一日行程順序給你們參考。,排行程、順序、景點、餐廳
劇本五,路線最佳化,方案產生階段,是,顯性介入,出現多個地點、明確討論順序是否合理、動線優化需求,地點：淡水老街、漁人碼頭、附近餐廳；限制：移動順路、不要太累,分析地點關係、提供最佳順序、優化動線,我可以幫你們把這幾個地點整理成比較順的移動路線。,順序、比較順、繞路、移動
劇本六,行程資訊補全,方案產生階段,是,顯性介入,已決定活動方向、開始問餐廳與預算、資訊不足,時間：午餐；地點：淡水；預算：500內；限制：不要太貴,補充餐廳資訊、補充價格、提供推薦選項,我可以先幫你們找淡水午餐、500元內的餐廳選項。,吃什麼、午餐、預算、不要太貴
劇本七,多人決策與衝突處理,決策確認階段,是,顯性介入,多種餐廳偏好、意見分歧、走向投票或比較,時間：晚餐,整理選項、比較類型差異、建議投票,目前有火鍋、燒肉、義大利麵、韓式，要不要我幫你們整理一下選項再投票？,我想吃、不然、還是、投票
劇本八,討論停滯與AI補位,決策確認階段,是,顯性介入,大量模糊語句、沒有推進、對話停滯,地點：台北市,判定停滯、補位提供方向、引導縮小範圍,看起來大家都還沒聚焦，要不要我先幫你們整理台北市幾個聚餐選項？,都可以、隨便、看你們、卡住了
劇本九,投票決策,決策確認階段,是,顯性介入,多個地點被提出、選項明確、主動提到投票,地點：九份、淡水、八里；限制：比較近、比較好玩,整理選項、建立投票機制、輸出結果,目前有九份、淡水、八里，我可以幫你們開個簡單投票。,選項有點多、直接投票、九份、淡水、八里
劇本十,時間衝突偵測,決策確認階段,是,顯性介入,同時安排多活動、存在趕時間問題、群組開始懷疑來不來得及,時間：七點吃飯、八點看電影；限制：移動時間、提前進場,檢查時間衝突、提醒風險、建議調整,目前七點吃飯接八點電影可能太趕，建議改晚場或調整順序。,來得及嗎、太趕、移動也要時間、提前進場
劇本十一,預算與延伸資訊補充,決策確認階段,是,顯性介入,討論預算高低、詢問附近還能做什麼、屬資訊補足需求,預算：一人1200；限制：不要太遠,估算預算、補充附近景點、提供延伸活動,如果每人預算抓1200，我可以幫你們整理附近能搭配的景點或逛街地點。,太貴、附近還可以幹嘛、景點、逛街
劇本十二,決策完成與執行支援,行程執行階段,是,顯性介入,已明確定案、不再討論替代方案、轉入執行支援需求,地點：這家,停止推薦、提供導航資訊、提供訂位支援,好，我可以接著幫你們整理導航、交通或訂位資訊。,那就這家吧、先定了、怎麼去、先訂位
劇本十三,音樂劇／演唱會（時間不可延誤型）,特殊情境,是,顯性介入,固定開演時間、需反推集合與交通時間、存在遲到風險,時間：六點、四點半先碰面；限制：活動不可延誤、需計算交通時間,記錄固定時間、反推出發時間、檢查合理性,因為音樂劇六點開演，我可以幫你們反推集合、用餐和交通時間。,六點要看、來不及、交通時間、比較不會遲到
劇本十四,電影／影城（場次限制型）,特殊情境,是,顯性介入,討論重點在場次、需搭配吃飯順序、存在場次匹配需求,時間：晚上；限制：太晚的不行,查詢場次、比對可行時間、安排電影與用餐順序,我可以先幫你們查晚上可行場次，再排先吃還是先看。,場次、太晚的不行、先吃再看、看完再吃
劇本十五,展覽／博物館（停留時間預估型）,特殊情境,是,顯性介入,活動為展覽型態、重點是停留時間與後續安排、需要補充活動資訊,,提供展覽資訊、估計停留時間、推薦後續行程,我可以先幫你們估展覽停留時間，再接著排吃飯或附近活動。,會待多久、之後去哪、抓好時間、排後面行程
劇本十六,臨時決定（即時需求型）,特殊情境,是,顯性介入,對話具有立即性、明確表達現在要、需要快速回應,時間：現在；地點：附近；限制：不要等太久、近一點、不要太多人,快速搜尋附近選項、考量等待時間、提供少量候選,我可以先幫你們找附近、等待時間短的幾個選項。,現在、附近有什麼、快點決定、不要等太久
劇本十七,戶外活動（天氣影響型）,特殊情境,是,顯性介入,活動屬戶外型、開始關注天氣風險、存在改地點或備案需求,時間：明天；地點：爬山；限制：可能下雨、安全性,查詢天氣、提醒風險、提供替代方案,我可以先幫你們查明天天氣，再判斷要不要改成室內行程。,會不會下雨、天氣不太穩、改地點、先看天氣
